backend,n_sites,n_cutoff,hilbert_dim,seconds
qutip,2,3,9,0.1110
qutip,3,3,27,0.0055
qutip,4,3,81,0.0154
qutip,5,3,243,0.0177
qutip,6,3,729,0.0533
qutip,7,3,2187,0.2818
qutip,8,3,6561,0.3846
qutip,9,3,19683,1.1026
qutip,10,3,59049,3.1767
qutip,11,3,177147,9.7858
qutip,12,3,531441,30.3040
qutip,13,3,1594323,90.5296
qutip,14,3,4782969,255.8980
quantumoptics_jl,2,3,9,0.0000
quantumoptics_jl,3,3,27,0.0120
quantumoptics_jl,4,3,81,0.0040
quantumoptics_jl,5,3,243,0.0000
quantumoptics_jl,6,3,729,0.0020
quantumoptics_jl,7,3,2187,0.0540
quantumoptics_jl,8,3,6561,0.1000
quantumoptics_jl,9,3,19683,0.2830
quantumoptics_jl,10,3,59049,0.8170
quantumoptics_jl,11,3,177147,3.0860
quantumoptics_jl,12,3,531441,10.0810
quantumoptics_jl,13,3,1594323,28.1100
quantumoptics_jl,14,3,4782969,85.4080
quantumtoolbox_jl,2,3,9,0.0330
quantumtoolbox_jl,3,3,27,0.0020
quantumtoolbox_jl,4,3,81,0.1000
quantumtoolbox_jl,5,3,243,0.0120
quantumtoolbox_jl,6,3,729,0.0290
quantumtoolbox_jl,7,3,2187,0.0670
quantumtoolbox_jl,8,3,6561,0.1730
quantumtoolbox_jl,9,3,19683,0.4240
quantumtoolbox_jl,10,3,59049,1.4550
quantumtoolbox_jl,11,3,177147,5.1150
quantumtoolbox_jl,12,3,531441,15.0000
quantumtoolbox_jl,13,3,1594323,43.2680
quantumtoolbox_jl,14,3,4782969,142.0990
