backend,n_sites,n_cutoff,hilbert_dim,seconds
qutip,2,3,36,0.0022302
qutip,2,5,100,0.0030699
qutip,2,8,256,0.0030446
qutip,2,10,400,0.0050006
qutip,2,12,576,0.0049982
qutip,2,15,900,0.0069997
qutip,2,18,1296,0.0079985
qutip,2,20,1600,0.0090005
quantumoptics_jl,2,3,36,0.0002325
quantumoptics_jl,2,5,100,0.0002602
quantumoptics_jl,2,8,256,0.0004346
quantumoptics_jl,2,10,400,0.0007712
quantumoptics_jl,2,12,576,0.0008581
quantumoptics_jl,2,15,900,0.0012259
quantumoptics_jl,2,18,1296,0.0013819
quantumoptics_jl,2,20,1600,0.0018227
quantumtoolbox_jl,2,3,36,0.0013074
quantumtoolbox_jl,2,5,100,0.0006501
quantumtoolbox_jl,2,8,256,0.0009523
quantumtoolbox_jl,2,10,400,0.0014473
quantumtoolbox_jl,2,12,576,0.0027725
quantumtoolbox_jl,2,15,900,0.0030302
quantumtoolbox_jl,2,18,1296,0.0042510
quantumtoolbox_jl,2,20,1600,0.0039610
